eui,deveui,payload,date,temperature,humidity,sound,movement,flame,lux,emergency
43f51377-2316-4073-9d90-a32159abe182,749182104-9,65cc9a6bfc13ae5dde55bf83,2024-02-08T15:37:14Z,235,140,96,1,1,64,1
d4b68b26-8e01-4535-af94-857e64b1b3c5,797072928-2,65cc9a6bfc13ae5dde55bf84,2024-02-07T22:52:22Z,209,79,14,1,0,157,1
24f42e28-064c-4fef-bb15-42e7b899ae18,196784469-0,65cc9a6bfc13ae5dde55bf85,2024-02-09T21:34:57Z,226,171,9,0,1,247,0
76fbc287-6893-4bad-a001-6da76a0ed480,190840807-3,65cc9a6bfc13ae5dde55bf86,2024-02-12T03:23:24Z,235,132,169,1,1,138,0
38430acb-ce1b-4d47-baad-c0ffedff5672,349161976-9,65cc9a6bfc13ae5dde55bf87,2024-02-08T19:19:39Z,23,150,134,0,0,94,1
70c826c1-dc9e-440b-affe-30e3bfea7f80,648324971-3,65cc9a6bfc13ae5dde55bf88,2024-02-08T06:38:54Z,134,65,164,1,0,64,0
28d9478c-543d-44f6-8b54-2236ca332bab,189888957-0,65cc9a6bfc13ae5dde55bf89,2024-02-07T22:27:22Z,34,80,194,0,0,6,1
8eab8b90-4e53-4bd4-9910-154c5c779db8,180348003-3,65cc9a6bfc13ae5dde55bf8a,2024-02-08T19:45:09Z,246,88,80,0,0,52,1
9acd3ed3-8c54-4b0c-bc0f-bab432a3e368,000444543-0,65cc9a6bfc13ae5dde55bf8b,2024-02-11T05:39:24Z,200,75,102,0,1,164,0
a188bc62-fd61-4321-9237-8f56ac6e3f99,120245636-7,65cc9a6bfc13ae5dde55bf8c,2024-02-08T15:47:48Z,125,179,61,1,1,63,1
918488d0-c779-4631-9c5f-70232c47dfdb,026454392-0,65cc9a6bfc13ae5dde55bf8d,2024-02-13T06:23:23Z,198,17,103,1,0,89,0
8c5aa817-9dfe-4cb0-914c-fe15a4b6796d,138981380-0,65cc9a6bfc13ae5dde55bf8e,2024-02-09T11:57:34Z,35,186,129,1,0,213,0
4563c9d5-34fd-465a-8d6a-0681106aadd3,875750512-8,65cc9a6bfc13ae5dde55bf8f,2024-02-11T22:53:14Z,200,106,200,1,1,238,0
009da867-2bda-4365-8b99-df0afb59d912,321208070-1,65cc9a6bfc13ae5dde55bf90,2024-02-07T09:06:56Z,195,237,149,0,0,60,0
fd423098-b399-4d5c-b84e-8c531322b5ae,978799002-5,65cc9a6bfc13ae5dde55bf91,2024-02-09T07:28:23Z,175,12,73,0,0,103,0
13e83ca5-55eb-433e-96a3-f3d9b55a58de,473831900-0,65cc9a6bfc13ae5dde55bf92,2024-02-11T19:53:54Z,226,3,76,1,0,213,0
283e178c-e335-4d4d-aae3-abf4a03c3456,267783630-0,65cc9a6bfc13ae5dde55bf93,2024-02-10T14:23:35Z,126,101,209,0,1,236,1
8b9f7c42-10eb-4cfa-9c31-6107c187d902,946568931-9,65cc9a6bfc13ae5dde55bf94,2024-02-11T13:44:00Z,35,249,254,0,0,218,0
95f396fa-12db-47ac-92aa-d256b3637968,613487962-2,65cc9a6bfc13ae5dde55bf95,2024-02-07T12:11:43Z,23,202,65,1,0,31,1
25e8202f-aab0-42f9-9424-ff631bd5aa0f,521051313-0,65cc9a6bfc13ae5dde55bf96,2024-02-12T16:56:28Z,227,124,65,0,0,162,1
b486a9dd-5b87-4316-acf0-438482f3cccc,875208396-9,65cc9a6bfc13ae5dde55bf97,2024-02-10T06:11:51Z,131,82,57,0,0,110,1
4f6509c2-dda0-4536-85a3-7ebc2b627ea2,871716033-2,65cc9a6bfc13ae5dde55bf98,2024-02-10T15:52:16Z,26,154,37,1,1,236,0
c577378f-8433-4c41-b4eb-bddf924e399a,726155539-8,65cc9a6bfc13ae5dde55bf99,2024-02-12T07:32:40Z,139,218,173,1,1,218,1
9fa4e5dc-a6ac-4145-8473-f45cd9b34e83,150353233-X,65cc9a6bfc13ae5dde55bf9a,2024-02-12T23:57:26Z,90,138,20,0,1,74,1
094f4017-af57-4673-b16c-c9d6a8d30e04,759016341-4,65cc9a6bfc13ae5dde55bf9b,2024-02-07T18:14:20Z,12,72,44,1,0,9,0
07b81a28-068e-44d7-b54c-9074aae6b265,949178433-1,65cc9a6bfc13ae5dde55bf9c,2024-02-13T08:26:15Z,216,23,15,1,0,12,0
3a4ca127-2d7d-4fc3-98dd-86f7b8e5b4c4,957650241-1,65cc9a6bfc13ae5dde55bf9d,2024-02-12T10:22:36Z,10,215,190,0,0,203,0
6ed769db-2d4a-4575-8f84-5a7c7ead3d7a,641234668-6,65cc9a6bfc13ae5dde55bf9e,2024-02-11T22:01:52Z,77,150,115,1,0,114,1
de7de70f-58f9-4d4a-a1c0-3441573c80a3,770115692-5,65cc9a6bfc13ae5dde55bf9f,2024-02-09T08:55:33Z,248,200,116,1,1,51,1
976de31b-aa90-44c5-92a9-98c48cc3c194,634465232-2,65cc9a6bfc13ae5dde55bfa0,2024-02-11T06:39:29Z,227,28,132,1,1,199,1
9a16b340-e269-4d5a-ae78-7d5227cb5f74,443244373-1,65cc9a6bfc13ae5dde55bfa1,2024-02-07T01:19:12Z,141,147,252,0,1,224,1
dc1256a2-e229-42ab-bb80-605181fc7334,824830781-6,65cc9a6bfc13ae5dde55bfa2,2024-02-11T11:39:25Z,41,64,130,1,1,252,1
b43e3106-12bd-45f5-b0d5-412a57bae157,130275001-1,65cc9a6bfc13ae5dde55bfa3,2024-02-13T20:26:48Z,157,173,28,1,0,248,0
677156c9-4a42-44d9-960e-f57158319518,037659945-6,65cc9a6bfc13ae5dde55bfa4,2024-02-09T22:10:24Z,1,192,89,1,0,51,1
73d1ef4b-f17d-4c6a-b401-9eefae55d24f,802746951-1,65cc9a6bfc13ae5dde55bfa5,2024-02-07T17:37:36Z,219,114,1,0,0,205,0
266dd252-e802-4785-affb-a47ea96db2cf,010034182-9,65cc9a6bfc13ae5dde55bfa6,2024-02-07T16:14:10Z,252,83,211,1,0,201,1
0f8336b5-d768-4410-8d58-2358fd76a255,728000380-X,65cc9a6bfc13ae5dde55bfa7,2024-02-08T05:41:11Z,216,10,53,1,1,224,0
93014e69-b054-44f0-bb66-eca72f998fa0,487139342-9,65cc9a6bfc13ae5dde55bfa8,2024-02-08T20:57:35Z,62,93,1,1,0,66,1
9544c871-18ee-463a-b738-7ee0b565af57,511555897-1,65cc9a6bfc13ae5dde55bfa9,2024-02-11T00:13:28Z,41,211,233,1,0,240,1
be55ebe6-005f-47f2-be8b-227148b1bb51,732423057-1,65cc9a6bfc13ae5dde55bfaa,2024-02-13T12:50:43Z,13,21,177,1,0,13,0
3c4abe56-1289-418f-bce2-5b36b2c42c93,391687576-0,65cc9a6bfc13ae5dde55bfab,2024-02-12T11:18:20Z,227,163,247,1,0,33,1
49181118-da5b-4da6-8a03-5b303fdf9cf2,189702482-7,65cc9a6bfc13ae5dde55bfac,2024-02-12T08:38:33Z,235,36,185,1,1,169,0
16912c32-623f-4e49-8cc9-565579eeeb01,345808416-9,65cc9a6bfc13ae5dde55bfad,2024-02-09T13:11:31Z,118,242,9,1,1,122,0
dae7497d-0a7d-4a72-9e29-0310d52b7474,685583362-4,65cc9a6bfc13ae5dde55bfae,2024-02-08T04:55:22Z,135,125,66,1,0,61,1
c08c88bf-487e-44b8-8fb0-9adb00d416d3,164593494-2,65cc9a6bfc13ae5dde55bfaf,2024-02-09T05:57:04Z,105,93,170,0,0,32,0
26ccf585-f0bb-421b-8d3e-3a58bae1405e,294844657-0,65cc9a6bfc13ae5dde55bfb0,2024-02-07T13:25:29Z,80,231,19,0,0,32,0
5612dfa8-40c7-40a9-824a-f439e15d7c33,661321858-8,65cc9a6bfc13ae5dde55bfb1,2024-02-10T06:01:13Z,253,236,78,0,0,24,1
7658aadd-4b33-4941-8571-cc85e9a88bf1,811048340-2,65cc9a6bfc13ae5dde55bfb2,2024-02-12T18:38:37Z,145,192,5,0,1,142,0
1ddd3022-55b3-42f0-93ae-ed1169d77607,227619528-2,65cc9a6bfc13ae5dde55bfb3,2024-02-13T04:12:55Z,177,3,120,0,1,83,1
6de602b8-3f6c-4801-8763-661e2dfe6ce7,676971231-8,65cc9a6bfc13ae5dde55bfb4,2024-02-13T17:00:38Z,115,150,49,0,0,94,0
ac431862-b83a-493b-adbb-44b92958aefa,113839687-7,65cc9a6bfc13ae5dde55bfb5,2024-02-12T08:32:20Z,188,8,174,1,0,199,0
c3fb214f-9e9e-4116-bd6b-d57e33790b79,154022724-3,65cc9a6bfc13ae5dde55bfb6,2024-02-09T09:13:19Z,138,19,189,0,1,115,1
b976f2f6-d1dd-4e8b-80d2-b3129dd5c213,953849535-7,65cc9a6bfc13ae5dde55bfb7,2024-02-10T11:54:53Z,46,188,64,0,1,61,1
5eff563b-04d0-4b4e-b695-30d1e2cf57d5,769032762-1,65cc9a6bfc13ae5dde55bfb8,2024-02-07T17:40:18Z,51,173,201,1,1,213,0
2970773d-dd4f-4fd4-934a-7408e19455c3,478486404-0,65cc9a6bfc13ae5dde55bfb9,2024-02-11T13:29:26Z,129,1,207,1,1,7,0
f362c711-ee78-495c-b25e-63e275df3996,910411338-1,65cc9a6bfc13ae5dde55bfba,2024-02-10T17:54:38Z,91,57,230,1,0,218,0
511dea67-a9d5-4eef-a06b-a645787c7ddf,122594150-4,65cc9a6bfc13ae5dde55bfbb,2024-02-10T13:13:54Z,93,22,144,1,1,80,1
baf90701-1bc1-432c-b7a0-1c1b16e66272,006736522-1,65cc9a6bfc13ae5dde55bfbc,2024-02-13T23:58:53Z,134,199,169,0,0,233,1
79b70aec-092a-4c0f-92dd-d944dad517b2,219071299-8,65cc9a6bfc13ae5dde55bfbd,2024-02-08T00:20:05Z,20,150,231,0,1,143,1
63c92352-6541-4bb6-9cdb-1d57c09c78dd,425617391-9,65cc9a6bfc13ae5dde55bfbe,2024-02-08T11:12:00Z,137,107,40,1,1,25,1
6ea3329e-2bff-492e-87a8-9e6bb201f5b7,086775371-4,65cc9a6bfc13ae5dde55bfbf,2024-02-11T22:19:47Z,43,163,85,0,0,92,1
ad8ec379-740d-4e9a-be55-0005af2b7aac,330900090-7,65cc9a6bfc13ae5dde55bfc0,2024-02-08T11:35:16Z,102,220,236,0,0,187,1
9517e029-8a3e-4c94-badf-f665089255dd,037668546-8,65cc9a6bfc13ae5dde55bfc1,2024-02-10T09:06:29Z,123,87,66,1,0,79,1
a1f876c1-852c-4ac6-ab0d-a840acae01c5,824991470-8,65cc9a6bfc13ae5dde55bfc2,2024-02-08T18:04:49Z,219,107,31,1,0,110,0
d3beada9-91b2-4093-b48f-852d206dd0f6,902684316-X,65cc9a6bfc13ae5dde55bfc3,2024-02-08T23:41:53Z,224,77,204,0,0,98,1
055b22e8-2d37-4910-b704-992efb1fc301,223160611-9,65cc9a6bfc13ae5dde55bfc4,2024-02-08T15:14:06Z,43,46,15,1,0,146,0
821bc766-8cc5-47da-8589-ae52acb39324,665641218-1,65cc9a6cfc13ae5dde55bfc5,2024-02-07T00:07:38Z,7,45,162,0,1,199,1
754f86ee-a096-4641-a7ea-20a63bc83ce5,860781361-7,65cc9a6cfc13ae5dde55bfc6,2024-02-09T10:17:24Z,111,177,124,0,0,188,1
53790de0-65b4-48e8-ae7f-5dac5973dc7c,664919448-4,65cc9a6cfc13ae5dde55bfc7,2024-02-11T15:10:01Z,66,252,206,0,0,86,0
09251c69-bb0b-4f6b-9963-cb4731995116,323692933-2,65cc9a6cfc13ae5dde55bfc8,2024-02-10T02:53:01Z,38,45,131,0,0,104,0
2187e2e4-2659-4d90-9c4c-ca20a4f0e3c1,042565984-4,65cc9a6cfc13ae5dde55bfc9,2024-02-07T14:07:28Z,62,91,179,0,1,128,1
918a2f91-1624-4658-a467-2cc352791245,832805894-4,65cc9a6cfc13ae5dde55bfca,2024-02-07T18:15:23Z,13,161,82,0,0,247,1
fdfc83f9-2e15-468c-b0f4-fb743dd94f45,774784498-0,65cc9a6cfc13ae5dde55bfcb,2024-02-09T02:50:44Z,13,7,252,0,0,43,1
60b8ea75-bb05-496a-85e4-6a46bb878670,254827770-4,65cc9a6cfc13ae5dde55bfcc,2024-02-13T20:34:13Z,98,220,61,0,1,104,1
8b15e855-bea7-41bb-a49b-0a60246c1e72,841617606-X,65cc9a6cfc13ae5dde55bfcd,2024-02-12T00:31:56Z,65,245,70,0,1,59,0
8014cb50-ec84-47d4-b966-a81ac50749d6,512715764-0,65cc9a6cfc13ae5dde55bfce,2024-02-11T16:23:18Z,196,41,89,1,1,108,1
f32a7a27-ed69-4b74-a9ea-f334fe74640d,329421800-1,65cc9a6cfc13ae5dde55bfcf,2024-02-13T14:49:23Z,55,142,218,0,0,171,0
d6181084-d47b-44fc-a80b-dc2eb15ce6fe,954973507-9,65cc9a6cfc13ae5dde55bfd0,2024-02-07T00:59:17Z,179,187,226,1,0,182,1
d17e3848-5644-40cd-85d0-365fd2a1d8e6,611174219-1,65cc9a6cfc13ae5dde55bfd1,2024-02-07T00:26:04Z,171,227,144,1,0,231,0
a3443e06-d1dd-442e-ac45-1fb8408d76bd,562035285-4,65cc9a6cfc13ae5dde55bfd2,2024-02-13T20:07:43Z,253,57,103,0,1,19,1
9ff4a975-3769-4e7c-98ec-5c58b26d04dd,122397538-X,65cc9a6cfc13ae5dde55bfd3,2024-02-07T18:37:23Z,153,97,140,1,0,142,1
05210a12-bdbc-4060-b3e1-aa533c51b002,638768493-5,65cc9a6cfc13ae5dde55bfd4,2024-02-10T15:00:42Z,130,170,75,1,1,252,1
29b686f0-6a48-4ada-93a3-b1f8e1617727,627351995-1,65cc9a6cfc13ae5dde55bfd5,2024-02-10T11:09:50Z,201,171,201,0,1,25,0
2f274278-1927-4b31-b794-aec48d3a9284,514578617-4,65cc9a6cfc13ae5dde55bfd6,2024-02-07T02:52:33Z,217,237,146,0,0,191,1
809bfb5b-f871-4d77-a1cd-b6c15e5e0fc9,866892759-0,65cc9a6cfc13ae5dde55bfd7,2024-02-13T23:13:58Z,184,196,80,1,0,48,1
f99911a0-5514-45ee-b07e-9a4b28c878e4,668478805-0,65cc9a6cfc13ae5dde55bfd8,2024-02-11T18:51:03Z,255,104,237,1,0,253,1
51706d68-062c-4e08-8336-92fccf9acdd2,971052994-3,65cc9a6cfc13ae5dde55bfd9,2024-02-12T21:18:43Z,185,30,2,0,1,61,0
fee9ed89-ad7c-407e-85ee-4aa7691b989d,180021811-7,65cc9a6cfc13ae5dde55bfda,2024-02-07T21:43:00Z,193,20,204,1,1,245,1
746c8f66-0107-4fa0-9d1d-3df09784a85f,779552625-X,65cc9a6cfc13ae5dde55bfdb,2024-02-13T14:38:11Z,75,138,208,0,0,127,0
b794b529-bdf7-415d-a4ef-1285f38e43a0,380670133-4,65cc9a6cfc13ae5dde55bfdc,2024-02-09T18:32:19Z,192,42,193,0,1,198,0
46565c57-dd76-47fd-b626-8ed157e763e1,310965071-1,65cc9a6cfc13ae5dde55bfdd,2024-02-13T09:58:55Z,8,159,187,0,0,109,1
19ae0ee7-14d2-431a-8fb7-345659a2dac0,887232292-8,65cc9a6cfc13ae5dde55bfde,2024-02-09T23:59:34Z,85,52,44,1,0,89,0
370efa2d-809d-45e3-97e2-cb5b062916fb,316836540-8,65cc9a6cfc13ae5dde55bfdf,2024-02-11T03:44:19Z,59,201,232,1,0,130,1
9a151556-163e-4b3e-bec1-632aa5ad9885,651914353-7,65cc9a6cfc13ae5dde55bfe0,2024-02-07T20:29:09Z,27,19,64,1,0,85,0
53e4279b-b3fd-4cb7-860c-97e5a9c15a54,935248077-5,65cc9a6cfc13ae5dde55bfe1,2024-02-13T05:21:31Z,23,142,247,0,0,185,0
0d0935f1-0217-4b86-a7d5-baf63162bfc5,639238209-7,65cc9a6cfc13ae5dde55bfe2,2024-02-11T15:49:07Z,230,107,101,1,1,41,1
bf8c4a49-1e47-4909-9bb2-85352787d883,763703288-4,65cc9a6cfc13ae5dde55bfe3,2024-02-07T06:09:35Z,180,162,174,1,0,41,0
dc1424a4-f5f7-4319-b8aa-bd896e54c820,413173682-9,65cc9a6cfc13ae5dde55bfe4,2024-02-07T00:20:48Z,174,150,79,0,0,10,0
7dca4c99-a442-4c52-bcb9-7bf584523100,894161402-3,65cc9a6cfc13ae5dde55bfe5,2024-02-10T23:09:55Z,113,42,241,0,0,154,0
2363827d-4218-495b-afca-19ef78b5c205,079076128-9,65cc9a6cfc13ae5dde55bfe6,2024-02-07T05:58:15Z,153,172,198,1,0,230,1
205f117b-b528-412e-9d94-59929ff61b3a,316301027-X,65cc9a6cfc13ae5dde55bfe7,2024-02-11T13:53:37Z,65,136,30,1,1,153,0
dde7ab70-5f73-43ae-bac3-a2d754e05351,500241069-3,65cc9a6cfc13ae5dde55bfe8,2024-02-11T17:45:05Z,41,14,171,1,0,11,0
6349e439-9e98-473f-b899-3f93c813a400,257085631-2,65cc9a6cfc13ae5dde55bfe9,2024-02-11T01:10:39Z,227,134,211,0,0,34,0
405066ae-e8c6-4352-98b7-781ccee9c0b4,839677956-2,65cc9a6cfc13ae5dde55bfea,2024-02-13T15:50:19Z,162,28,76,1,0,210,0
94defdb6-0b80-4d7b-b9c0-48b1ed9c5327,317522735-X,65cc9a6cfc13ae5dde55bfeb,2024-02-13T00:39:29Z,72,100,2,1,0,15,0
0c33d0cd-ec80-4adb-805a-dfd7cf4d436d,185885239-0,65cc9a6cfc13ae5dde55bfec,2024-02-07T03:39:48Z,94,0,26,1,0,71,0
4ec75a5f-9a0c-4890-9cd6-e748d9dfca3d,322069790-9,65cc9a6cfc13ae5dde55bfed,2024-02-10T05:14:08Z,108,114,107,1,0,199,0
4183ce08-8823-4352-81de-c9b214230567,272782071-2,65cc9a6cfc13ae5dde55bfee,2024-02-10T20:27:08Z,1,133,93,1,1,196,0
605ff503-d9b6-493a-9c87-d332ea6ae0ac,124194782-1,65cc9a6cfc13ae5dde55bfef,2024-02-10T23:35:16Z,163,250,31,0,1,190,1
7cb0c1c4-a90a-45cc-b0f4-12bfcd681b76,417514032-8,65cc9a6cfc13ae5dde55bff0,2024-02-08T12:52:45Z,189,233,205,0,1,34,1
ca8e460f-f31e-4347-bc7b-ac495df6a080,429482330-5,65cc9a6cfc13ae5dde55bff1,2024-02-09T17:20:01Z,180,95,89,0,0,61,0
e4188d46-1ff1-426d-b682-d7b51e281f52,582414808-2,65cc9a6cfc13ae5dde55bff2,2024-02-09T19:08:04Z,232,168,166,0,0,95,0
dfd69b9b-faa6-4606-9196-c27e0b614006,903227121-0,65cc9a6cfc13ae5dde55bff3,2024-02-12T12:09:18Z,253,77,238,1,0,54,1
d13055c4-7d5e-4629-b4cb-56efd7dbb33a,767474054-4,65cc9a6cfc13ae5dde55bff4,2024-02-13T08:41:59Z,14,0,245,1,1,63,0
5e28122f-df16-4a17-bd99-bd3f860fed63,021226818-X,65cc9a6cfc13ae5dde55bff5,2024-02-08T08:55:12Z,156,213,200,1,1,122,0
4a5c8eeb-5f95-4424-b4c6-1162c277841d,708432724-X,65cc9a6cfc13ae5dde55bff6,2024-02-12T10:00:32Z,73,160,235,1,1,139,1
08fdd063-af93-4f13-8a54-72a2395a1612,724982161-X,65cc9a6cfc13ae5dde55bff7,2024-02-10T04:39:07Z,204,79,248,0,0,142,0
b15daa82-bc03-4586-b7fd-ae863a31d673,528523122-1,65cc9a6cfc13ae5dde55bff8,2024-02-10T02:28:45Z,225,65,99,1,1,125,1
6d588de2-ff7b-414a-b9af-817013563909,063696007-2,65cc9a6cfc13ae5dde55bff9,2024-02-08T16:18:12Z,184,173,168,0,1,27,1
2a8ad926-3369-417d-9424-cd3cb5cfc640,845822404-6,65cc9a6cfc13ae5dde55bffa,2024-02-09T19:49:22Z,140,194,166,1,1,113,0
956e6adb-e9bc-4c83-b677-c30b220374dd,100729987-8,65cc9a6cfc13ae5dde55bffb,2024-02-12T00:52:55Z,58,248,151,0,1,27,0
d40d0e31-9362-47e4-a320-512aee83d121,354743812-8,65cc9a6cfc13ae5dde55bffc,2024-02-12T06:49:39Z,36,150,199,1,1,174,0
96b045eb-78ac-4cd7-9f11-2cc4e34d2356,175780762-4,65cc9a6cfc13ae5dde55bffd,2024-02-10T07:41:31Z,22,210,57,0,0,169,1
90feb9e8-e50e-4933-b6f8-352c2a1eaa3b,640516350-4,65cc9a6cfc13ae5dde55bffe,2024-02-10T15:45:31Z,173,52,98,0,1,142,0
91e30707-998d-42eb-87d7-151b9bd3e1dc,153118965-2,65cc9a6cfc13ae5dde55bfff,2024-02-10T10:21:16Z,26,137,253,1,1,128,1
10090b0f-7e01-4be8-b8cc-9b2555a993fc,823680338-4,65cc9a6cfc13ae5dde55c000,2024-02-08T23:24:01Z,135,175,146,1,1,228,0
b94054ba-649a-431d-b315-fa9c9960b571,824720607-2,65cc9a6cfc13ae5dde55c001,2024-02-08T22:40:34Z,162,13,250,1,1,127,0
